the,333636979
to,221229644
of,211665446
and,208750525
a,177175116
in,150927684
that,93797541
is,89848010
for,89621890
on,77129687
with,63583374
it,58297688
was,58234556
at,54018090
be,49829708
by,48094506
as,46772693
you,43881552
have,43299679
are,43197467
this,42340440
from,42096772
not,40897261
he,35511128
said,34412602
his,33501498
or,31616120
but,30774978
an,30382098
will,29283135
has,28419647
had,25859964
they,25147206
all,25139640
about,24094156
one,22544589
their,22426338
more,22389465
who,22144860
we,21993718
up,21794620
out,21290532
which,21095356
were,20700125
would,19966140
been,19689066
my,19584013
your,18792924
her,18587893
can,18575667
so,17953884
if,17513663
what,16419024
when,16239377
me,16235657
like,15986181
do,15867762
time,15597330
there,15171827
than,14823998
them,14677724
just,14568122
our,14558664
its,14345124
some,14277142
no,14202976
she,13979551
other,13969316
people,13944413
into,13858290
him,13685026
over,12657157
new,12643446
also,12069644
now,11912570
could,11874307
first,11715658
get,11666052
only,11635637
after,11628626
two,11611598
any,11148727
year,11075858
know,10308582
think,9655393
how,9475974
last,9282993
very,9208185
years,9206078
back,9188072
see,9108536
us,9084305
make,9011190
because,8959391
then,8924456
com,8887453
way,8852116
much,8757796
most,8752290
good,8741088
may,8496778
should,8439723
here,8406124
these,8215357
even,8201966
before,8198474
down,8171623
well,8096442
those,8055571
where,8025638
did,8012921
being,7946370
made,7937629
day,7864095
going,7860872
ago,7791781
says,7733597
many,7725191
off,7676726
go,7526897
say,7516764
through,7508211
right,7507178
don't,7345120
work,7068818
such,6838777
still,6821468
take,6751710
it's,6701090
am,6615569
want,6484130
too,6278112
little,6272389
own,6205781
while,6045215
long,6007958
three,5986698
man,5895647
against,5884686
really,5853070
use,5769156
world,5752656
never,5726427
great,5725347
life,5641041
home,5603216
same,5578788
need,5564234
come,5548941
old,5473978
got,5317378
under,5244025
around,5237730
another,5201006
government,5183844
next,5084268
part,5077476
must,5067359
since,5005219
between,4870520
things,4851239
might,4842067
again,4835636
without,4808932
week,4777505
help,4750354
every,4731607
something,4718501
both,4714443
days,4695296
few,4681148
look,4612960
million,4602987
best,4599734
does,4581672
comments,4578244
found,4577398
end,4551540
news,4547920
place,4498576
better,4473737
state,4446067
find,4430506
high,4341906
business,4292503
put,4275030
during,4270169
told,4257684
information,4253973
left,4226911
money,4222851
used,4205996
came,4188341
away,4178226
comment,4163199
thing,4064245
country,3974899
public,3973836
free,3948230
second,3928548
called,3912107
game,3910755
each,3872644
set,3856025
give,3833823
thought,3830206
company,3825041
show,3796648
night,3772523
always,3759355
lot,3758136
today,3749780
though,3747209
why,3731353
post,3722477
percent,3690713
went,3687934
